id,title,company,location,url,salary_raw,description,city,insights,scraped_at,enriched_at
77,Distinguished Data Engineer - Capital One Software (Remote),Capital One,"Cambridge, MA, United States",,Not listed,"Distinguished Data Engineer - Capital One Software (Remote)

Ever since our first credit card customer in 1994, Capital One has recognized that technology and data can enable even large companies to be innovative and personalized. As one of the first large enterprises to go all-in on the public cloud, Capital One needed to build cloud and data management tools that didn't exist in the marketplace to enable us to operate at scale in the cloud. And in 2022, we publicly announced Capital One Software and brought our first B2B software solution, Slingshot, to market.

Building on Capital One's pioneering adoption of modern cloud and data capabilities, Capital One Software is helping accelerate the data management journey at scale for businesses operating in the cloud. If you think of the kind of challenges that companies face - things like data publishing, data consumption, data governance, and infrastructure management - we've built tools to address these various needs along the way. Capital One Software will continue to explore where we can bring our solutions to market to help other businesses address these same needs going forward.

We are seeking top tier talent to join our pioneering team and propel us towards our destination. You will be joining a team of innovative product, tech, and design leaders that tirelessly seek to question the status quo. As a Capital One Distinguished Data Engineer, you'll have the opportunity to be on the forefront of building this business and ",Boston,"{'summary': ""This job posting is a thinly veiled attempt to poach top talent with the allure of a 'pioneering' team, but the reality is a soulless corporate drone at a bank."", 'vibe': 'faang_tier|corporate_zombie', 'red_flags': [""Redundant phrase 'all-in on the public cloud' is a 2020 buzzword"", ""Company trying to capitalize on the 'cloud and data' trend without substance"", 'No mention of salary or benefits'], 'green_flags': ['Experience at a large bank might offer a stable work environment', 'Slingshot seems like a novel product worth exploring'], 'seniority': 'senior', 'match_score': 32}",2025-11-29 11:23:14.605447,2025-11-29 11:23:14.605447
78,"Software Engineer, Backend (IoT & AWS)",Bosch Group,"Watertown, MA, United States",,Not listed,"Company Description

We Are Bosch.

At Bosch, we shape the future by inventing high-quality technologies and services that spark enthusiasm and enrich people’s lives. Our areas of activity are every bit as diverse as our outstanding Bosch teams around the world. Their creativity is the key to innovation through connected living, mobility, or industry.

Let’s grow together, enjoy more, and inspire each other. Work #LikeABosch
• Reinvent yourself: At Bosch, you will evolve.
• Discover new directions: At Bosch, you will find your place.
• Balance your life: At Bosch, your job matches your lifestyle.
• Celebrate success: At Bosch, we celebrate you.
• Be yourself: At Bosch, we value values.
• Shape tomorrow: At Bosch, you change lives.

Job Description
• Design, Build, and optimize solutions using AWS services such as Lambda, DynamoDB, IoT Core, API Gateway, S3, IAM and CloudWatch.
• Solid experience in AWS services for application hosting, database, networking and storage
• Collaborate with Front end (React Native) mobile development team for smooth integration and data flow
• Strong understanding of AWS Well-Architected Framework principles, especially in the areas of security, reliability, and cost optimization.
• Implement Infrastructure as Code using tools like AWS CloudFormation or Terraform.
• Set up and manage CI/CD pipelines for automated testing and deployment.
• Work within agile teams using Jira, Bitbucket, and other Atlassian tools.
• Monitor, troubleshoot, and optimi",Boston,"{'summary': ""This job description is a Frankenstein's monster of clichés, stitched together with buzzwords and devoid of substance."", 'vibe': 'faang_tier|hidden_gem', 'red_flags': ['excessive use of buzzwords', 'lack of technical depth', 'overemphasis on corporate culture'], 'green_flags': ['AWS services listed', 'CI/CD pipelines', 'agile teams'], 'seniority': 'mid', 'match_score': 52}",2025-11-29 11:23:19.017308,2025-11-29 11:23:19.017308
79,Senior ML Operations Engineer,Whoop,"Boston, MA, United States",,Not listed,"At WHOOP, we're on a mission to unlock human performance and healthspan. WHOOP empowers members to perform at a higher level through a deeper understanding of their bodies and daily lives.

We are looking for a highly skilled Senior Software Engineer to join our MLOps team, focusing on the development and optimization of ML cloud infrastructure. In this role, you will play a critical part in supporting our Data Science and AI teams by building robust, scalable systems for the productionalization of machine learning models. Your work will be at the heart of bringing advanced AI solutions into production, ensuring they are reliable, scalable, and ready to drive value across WHOOP.

RESPONSIBILITIES:
• Design, develop, and maintain cloud-based infrastructure to support the deployment and scaling of machine learning models. Implement automated pipelines for continuous integration and continuous deployment (CI/CD) of ML models, ensuring seamless transitions from development to production environments.
• Collaborate closely with Data Scientists and AI teams to understand model requirements and facilitate the transition from prototype to production.
• Develop APIs, microservices, and other components necessary to integrate ML models into existing systems, enabling real-time inference and decision-making.
• Leverage cloud services to optimize the deployment and performance of machine learning models and associated infrastructure. Utilize services such as AWS SageMaker, Lambda, and EC",Boston,"{'summary': ""This job is a soulless grind to ensure a boutique fitness tracker's ML models don't implode on their overhyped platform."", 'vibe': 'faang_tier', 'red_flags': ['overemphasis on CI/CD', ' lack of specific ML expertise', 'vague job requirements'], 'green_flags': ['cloud infrastructure experience', 'collaborative team environment', 'AWS services'], 'seniority': 'senior', 'match_score': 62}",2025-11-29 11:23:23.063901,2025-11-29 11:23:23.063901
80,"Principal Software Engineer, Orders Cloud Sync",Toast,"Boston, MA, United States",,Not listed,"Toast creates technology to help restaurants and local businesses succeed in a digital world, helping business owners operate, increase sales, engage customers, and keep employees happy. We are looking for a Principal Software Engineer to join the Orders Cloud Sync Team.

On the Orders Cloud Sync Team, our mission is to provide a state of the art platform for processing and synchronizing changes to orders that enables Toast to build complex and customizable workflows for our customers.

As a Principal Software Engineer on this team, you’ll play a key role in designing and implementing new features, evolving our architecture and tooling to ensure efficient high-quality delivery, and working with many other Toast R&D teams to bring high-visibility product experiences to life, ensuring that over 1 billion order changes per week across over 150,000 customers are processed quickly and accurately.

A day in the life (Responsibilities):
• Design, build, deploy, and maintain highly resilient and scalable systems that are critical to our customers’ success
• Lead complex projects that span multiple teams to improve functionality and reliability for our customers
• Design solutions that anticipate and accommodate future needs while considering tradeoffs
• Effectively communicate technical direction, guide teams through execution and drive organizational quality practices
• Act as a force multiplier in improving engineering productivity
• Diagnose performance bottlenecks and implement o",Boston,"{'summary': 'This job listing reeks of a bloated engineering org with a culture of heroics, where a Principal Engineer is expected to be a jack-of-all-trades and a master of none, with no clear direction or vision.', 'vibe': 'faang_tier|corporate_zombie', 'red_flags': ['overly broad responsibilities', 'lack of clear direction', 'emphasis on heroics over engineering principles'], 'green_flags': ['emphasis on scalability and reliability', 'high-volume transactional system'], 'seniority': 'senior', 'match_score': 42}",2025-11-29 11:23:27.178291,2025-11-29 11:23:27.178291
81,Backend & Applied AI/ML Engineer,eBay,"Portland, OR, United States",,Not listed,"At eBay, we're more than a global ecommerce leader — we’re changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We’re committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts.

Our customers are our compass, authenticity thrives, bold ideas are welcome, and everyone can bring their unique selves to work — every day. We're in this together, sustaining the future of our customers, our company, and our planet.

Join a team of passionate thinkers, innovators, and dreamers — and help us connect people and build communities to create economic opportunity for all.

About the team and role

You will join a collaborative engineering team that builds scalable, reliable backend systems while partnering closely with applied ML engineers, data scientists, and cross-functional product teams. Together, we deliver innovative, AI-enhanced capabilities that power the experiences of millions of buyers and sellers around the world.

In this role, you will deepen your backend engineering expertise while contributing to eBay’s expanding AI/ML initiatives. You will design and implement core backend services, integrate AI/ML models into production systems, and help shape the architecture of next-generation, intelligent platform features. This position offers the opportunity to make meaningful technical contributions, work with a highly skilled and geographically d",Portland,"{'summary': ""eBay's desperate attempt to cling to relevance in a world where AI is eating its lunch"", 'vibe': 'faang_tier|hidden_gem', 'red_flags': ['highly-politicized work environment', 'insufficient budget for innovation', 'bureaucratic red tape'], 'green_flags': ['global ecommerce leader', 'collaborative engineering team', 'expanding AI/ML initiatives'], 'seniority': 'senior', 'match_score': 60}",2025-11-29 11:23:31.335488,2025-11-29 11:23:31.335488
82,Senior Software Engineer,Relativity,"Oregon City, OR, United States",,Not listed,"Posting Type

Hybrid

Job Overview

Are you looking to be in a workplace where colleagues inspire one another, working together to build AI software solutions?

We're looking for a Senior Software Engineer to join our Relativity Privacy Engineering team. Come work with a dynamic group of talented professionals focusing on ML powered applications that power our Data Breach Response solution.

Job Responsibilities

Job Description and Requirements
• Architect, design, and develop model-based applications 
• Guide product improvements across schema, framework, and platform 
• Lead the team to best-practice technical design, by example and through collaboration 
• Understand department-wide initiatives and guidelines, work with teams to ensure implementation is aligned with Engineering-wide policies and direction
• Maintain a backlog of tools or technology enhancements to improve the maintainability and quality of the solutions
• Encourage teams to work collaboratively by advising and enforcing best practices when needed
• Stay up-to-date with technologies and best practices related to CI/CD tooling and developer productivity

Qualifications
• 2+ years of professional experience delivering successful SaaS products.
• 5+ years of professional experience in software development 
• Strong computer science fundamentals in algorithms, data structures and computational complexity
• A self-starter driven to make an impact
• Strong Communications skills, experience leading teams
• Profic",Portland,"{'summary': 'A cookie-cutter job description trying to mask its true nature as a management role in disguise.', 'vibe': 'corporate_zombie', 'red_flags': ['2+ years of SaaS experience', 'Strong Communications skills, experience leading teams', 'Profic'], 'green_flags': ['Strong computer science fundamentals in algorithms, data structures and computational complexity'], 'seniority': 'senior', 'match_score': 40}",2025-11-29 11:23:35.686891,2025-11-29 11:23:35.686891
83,Backend Software Engineer (Python),Scribd,"Portland, OR, United States",,Not listed,"About The Company:

At Scribd (pronounced “scribbed”), our mission is to spark human curiosity. Join our team as we create a world of stories and knowledge, democratize the exchange of ideas and information, and empower collective expertise through our four products: Everand, Scribd, Slideshare, and Fable.

We support a culture where our employees can be real and be bold; where we debate and commit as we embrace plot twists; and where every employee is empowered to take action as we prioritize the customer.

When it comes to workplace structure, we believe in balancing individual flexibility and community connections. It’s through our flexible work benefit, Scribd Flex, that employees – in partnership with their manager – can choose the daily work-style that best suits their individual needs. A key tenet of Scribd Flex is our prioritization of intentional in-person moments to build collaboration, culture, and connection. For this reason, occasional in-person attendance is required for all Scribd employees, regardless of their location.

So what are we looking for in new team members? Well, we hire for “GRIT”. The textbook definition of GRIT is demonstrating the intersection of passion and perseverance towards long term goals. At Scribd, we are inspired by the potential that this can unlock, and ask each of our employees to pursue a GRIT-ty approach to their work. In a tactical sense, GRIT is also a handy acronym that outlines the standards we hold ourselves and each other to.",Portland,"{'summary': ""This Scribd job screams 'culture fit' on the surface, but a closer look reveals a toxic mix of corporate jargon and startup chaos."", 'vibe': 'faang_tier|startup_chaos', 'red_flags': [""culture fit as a euphemism for 'conformity'"", ""flexible work schedule with occasional in-person attendance is a euphemism for 'we'll micromanage you'"", 'GRIT-ty approach sounds like a cult', 'Slideshare is a relic of the past'], 'green_flags': ['Portland, OR', 'intentional in-person moments can be beneficial for team bonding'], 'seniority': 'junior|mid', 'match_score': 30}",2025-11-29 11:23:39.837324,2025-11-29 11:23:39.837324
84,Senior ML Engineer (Python Backend),VirtualVocations,"Vancouver, WA, United States (+1 other)",,Not listed,"A company is looking for an ML Software Engineer (Python Backend) Senior I / II or Staff.

Key Responsibilities

Design, build, and maintain scalable, fault-tolerant backend services in Python

Develop and maintain data pipelines for AI / ML workflows and collaborate on system integration

Implement error-handling, monitoring, and CI / CD pipelines to ensure system reliability and streamline development processes

Required Qualifications

A degree in Computer Science, Data Engineering, Software Engineering, or a related field with 5-8 years of experience (Bachelor's) or 4-6 years (Master's / PhD) in backend software development

Advanced knowledge of modern Python web application development (e.g., FastAPI, SQLAlchemy, Pydantic)

Experience with relational and NoSQL database systems

Strong understanding of distributed systems and microservices architecture

Familiarity with cloud platforms (e.g., AWS, GCP, Azure) and containerization technologies (e.g., Docker, Kubernetes)",Portland,"{'summary': 'This job is a glorified system administrator in a Python wrapper, with a hint of AI sprinkled on top to make it sound exciting.', 'vibe': 'hidden_gem', 'red_flags': ['overemphasis on specific tech stack', 'too many buzzwords', 'not a clear tech lead role'], 'green_flags': ['emphasis on data pipelines', 'cloud experience'], 'seniority': 'senior', 'match_score': 45}",2025-11-29 11:23:44.023625,2025-11-29 11:23:44.023625
85,Staff Backend Software Engineer,eBay,"Portland, OR, United States",,Not listed,"At eBay, we're more than a global ecommerce leader — we’re changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We’re committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts.

Our customers are our compass, authenticity thrives, bold ideas are welcome, and everyone can bring their unique selves to work — every day. We're in this together, sustaining the future of our customers, our company, and our planet.

Join a team of passionate thinkers, innovators, and dreamers — and help us connect people and build communities to create economic opportunity for all.

About the team and role:

We are the eBay Seller Experience team!

We are seeking a dedicated, creative and passionate Staff Backend Software Engineer to architect, design and develop innovative, highly performant, available software in the form of web services and applications across various device form factors that help business sellers worldwide to on-board, handle inventory & listing and grow their business on the largest global marketplace.

These applications help business sellers worldwide to onboard, manage, and grow their businesses on eBay's global marketplace.

In this role, you will contribute at the very core of eBay’s selling experience, to deliver an engaging selling experience for more than 25 million sellers across 22 nations, who collectively generate billions of dolla",Portland,"{'summary': ""eBay's Seller Experience team is desperately seeking a Staff Backend Software Engineer to prop up a creaky ecommerce monolith, but don't expect revolutionary innovation."", 'vibe': 'faang_tier|hidden_gem', 'red_flags': ['massive codebase', 'limited creativity', ""eBay's legacy tech debt""], 'green_flags': ['opportunity to work on a massive scale', 'large team support', ""eBay's brand recognition""], 'seniority': 'senior', 'match_score': 42}",2025-11-29 11:23:48.094929,2025-11-29 11:23:48.094929
86,Software Engineer - Machine Learning,Trimble Inc.,"Lake Oswego, OR, United States",,Not listed,"Job Title: Software Engineer - Machine Learning

Job Location: Lake Oswego, OR

Our Department: Trimble AECO - Viewpoint

About The Role

Are you ready to independently design and implement impactful machine learning solutions, driving product innovation and mentoring emerging talent?

This role is for an experienced professional ready to take ownership of machine learning projects, from conceptualization to production. In this role you will apply in-depth knowledge to solve complex problems, improve existing systems, and contribute significantly to product development. This position requires strong analytical skills, a proactive approach to problem-solving, and the ability to act as a valuable resource for less experienced team members.

What You Will Do
• Independently identify, train, and refine deep learning models to solve real-world problems at scale, overseeing the full lifecycle from conception to deployment. Curate and maintain effective datasets, ensuring robust data coverage and quality for diverse industry use cases, directly impacting model performance.
• Work closely with teams who bring domain expertise, translating ambiguous needs into clear and actionable ML tasks.
• Contribute significantly to MLOps best practices, including containerization, model versioning, and robust monitoring, ensuring you know how to look for clues when models break.
• Apply advanced machine learning and statistical modeling techniques (e.g., decision trees, logistic regression, Bayes",Portland,"{'summary': ""This job is a corporate ML engineering role that's stuck in a legacy industry, begging for a contrarian thinker with some actual vision."", 'vibe': 'corporate_zombie', 'red_flags': [""Too much emphasis on 'independently' and 'take ownership' for a company this size"", 'Lack of specific machine learning expertise', 'Viewpoint is a legacy software company, not a cutting-edge tech firm'], 'green_flags': ['Trimble has some interesting products in AECO', 'Lake Oswego is a decent location for the PNW', 'ML engineer with a background in construction or architecture could bring unique value'], 'seniority': 'senior', 'match_score': 42}",2025-11-29 11:23:52.547904,2025-11-29 11:23:52.547904
87,Senior Software Engineer - Database Platform,New Relic,"Portland, OR, United States",,Not listed,"We are a global team of innovators and pioneers dedicated to shaping the future of observability. At New Relic, we build an intelligent platform that empowers companies to thrive in an AI-first world by giving them unparalleled insight into their complex systems. As we continue to expand our global footprint, we're looking for passionate people to join our mission. If you're ready to help the world's best companies optimize their digital applications, we invite you to explore a career with us!

Your opportunity
Do you want to work on automating databases and services that process hundreds of billions of transactions per month? Do you seek to build, and deploy database systems across several environments that are highly reliable, performant, and easy to operate via automation? If you find these challenges electrifying, we encourage you to apply!
We are looking for a Senior Software Engineer to join our team building our next generation database platform. You will play an important role in implementing and running our database infrastructure to build a robust and scalable database-as-a-service platform. You will need strong software development and deep hands-on Kubernetes expertise to develop tools and controllers for effective database management.

What you'll do
• Build an extraordinary database-as-a-service platform that will provide streamlined cloud services for our customers using MySQL, PostgreSQL, Redis, and Kubernetes
• Write efficient and optimized code to build tool",Portland,"{'summary': ""You'll be a glorified sysadmin writing code to automate databases, because that's what happens when innovation gets watered down by corporate greed."", 'vibe': 'corporate_zombie', 'red_flags': ['New Relic has a reputation for being a soulless tech giant, maxed out salaries but no actual work-life balance, another mediocre DevOps company, poor code quality, toxic management'], 'green_flags': ['Kubernetes expertise, diverse tech stack, decent salary, opportunity to work on a large scale'], 'seniority': 'mid', 'match_score': 42}",2025-11-29 11:23:56.438108,2025-11-29 11:23:56.438108
88,Software Engineer II,Nike,"Beaverton, OR, United States",,Not listed,"Title: Software Engineer II

Location: Remote, US

Duration: 11-month contract

SECTION 1: WHO ARE WE LOOKING FOR

We seek passionate Senior Software Engineers to join our team. As a Senior Software Engineer, you will develop robust advanced analytics and machine learning solutions that have a direct impact on the business. You should have experience in Python; a strong background in algorithms and data structures; hands-on AWS experience; as well as experience in database technology (e.g. Postgres, Redis) and data processing technology (e.g. EMR). You should also have a demonstrable history of team leadership and value delivery, and be comfortable working in a product model using Scrum.

As a Senior Software Engineer, you will be expected to own projects end-to-end - from conception to operationalization, demonstrating an understanding of the full software development lifecycle. As a result, you will be expected to provide technical vision and guidance to your teammates; therefore, strong communication skills are critical in this role.
SECTION 2: WHAT WILL YOU WORK ON

If this is you, you’ll be working with the Artificial Intelligence and Machine Learning (AI/ML) team at Nike. With teammates in Portland, Boston, China, and Poland, you’ll be joining a global organization working to solve machine learning problems at scale. You’ll be designing and implementing scalable applications that leverage prediction models and optimization programs to deliver data-driven decisions that ",Portland,"{'summary': ""Contracted to Nike, but will have to deal with AI/ML team in multiple regions, because 'global organization' is just a euphemism for ' distributed mess'."", 'vibe': 'faang_tier', 'red_flags': ['11-month contract', 'Remote work', 'No benefits mentioned'], 'green_flags': ['Machine learning', 'Scalable applications', 'Strong communication skills expected'], 'seniority': 'senior', 'match_score': 42}",2025-11-29 11:24:00.50672,2025-11-29 11:24:00.50672
89,Backend & Applied AI/ML Engineer,eBay Inc.,"Portland, OR, United States",,Not listed,"At eBay, we're more than a global ecommerce leader - we're changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We're committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts.

Our customers are our compass, authenticity thrives, bold ideas are welcome, and everyone can bring their unique selves to work - every day. We're in this together, sustaining the future of our customers, our company, and our planet.

Join a team of passionate thinkers, innovators, and dreamers - and help us connect people and build communities to create economic opportunity for all.

About the team and role

You will join a collaborative engineering team that builds scalable, reliable backend systems while partnering closely with applied ML engineers, data scientists, and cross-functional product teams. Together, we deliver innovative, AI-enhanced capabilities that power the experiences of millions of buyers and sellers around the world.

In this role, you will deepen your backend engineering expertise while contributing to eBay's expanding AI/ML initiatives. You will design and implement core backend services, integrate AI/ML models into production systems, and help shape the architecture of next-generation, intelligent platform features. This position offers the opportunity to make meaningful technical contributions, work with a highly skilled and geographically d",Portland,"{'summary': ""eBay's AI/ML job posting: more buzzwords than backend experience"", 'vibe': 'faang_tier', 'red_flags': ['AI/ML buzzwords over substance', 'Too focused on corporate culture', 'Not enough details on backend systems'], 'green_flags': ['Collaborative engineering team', 'Scalable and reliable backend systems'], 'seniority': 'senior', 'match_score': 40}",2025-11-29 11:24:04.498862,2025-11-29 11:24:04.498862
90,Software Engineer - Back-End - Oracle Focused,Strategic Pharmaceutical Solutions,"Portland, OR, United States",,Not listed,"Pets deserve the best care. At Vetsource, we build the foundation for success, enabling those in the pet healthcare profession and industry to thrive. Our data-powered platform simplifies processes and streamlines systems, helping those we serve create tighter bonds with their customers. From prescription management and pet owner engagement to veterinary business performance data and insights, Vetsource provides comprehensive solutions that give our customers more time and flexibility, and help them foster strong relationships and positive experiences. In a rapidly evolving world, we're constantly seeking new ways to help our customers chart a course for a better, brighter future for pets and those who care for them.

If you love pets, want to have an impact and join a fantastic organization, Vetsource could be the place for you.

At Vetsource, our teams, much like our customers, are represented through diverse perspectives, life experiences, unique strengths (and love for animals). We are an equal opportunity employer committed to fostering an inclusive and diverse workplace.

We are a team of real people looking for great people to join us, which is why applications are carefully and thoughtfully reviewed by our team. We know that when considering a new opportunity, it's common to weigh your qualifications against the listed job criteria. That said, even if you don't meet 100% of the job requirements but feel you would be a good fit for the role, we still encourage you to a",Portland,"{'summary': ""This job is a fluffy, feel-good opportunity to waste your skills on a dated Oracle-based system in a company that's more concerned with cute animal pictures than real innovation."", 'vibe': 'hidden_gem', 'red_flags': ['overemphasis on feel-good mission statement', 'dated technology stack', 'inflated job posting language'], 'green_flags': ['emphasis on diversity and inclusion', 'opportunity to work on pet healthcare industry'], 'seniority': 'junior', 'match_score': 42}",2025-11-29 11:24:08.583182,2025-11-29 11:24:08.583182
91,Software Engineer - Data & ML Infrastructure,"Advanced Micro Devices, Inc","Markham, ON",,Not listed,"WHAT YOU DO AT AMD CHANGES EVERYTHING

At AMD, our mission is to build great products that accelerate next-generation computing experiences—from AI and data centers, to PCs, gaming and embedded systems. Grounded in a culture of innovation and collaboration, we believe real progress comes from bold ideas, human ingenuity and a shared passion to create something extraordinary. When you join AMD, you’ll discover the real differentiator is our culture. We push the limits of innovation to solve the world’s most important challenges—striving for execution excellence, while being direct, humble, collaborative, and inclusive of diverse perspectives. Join us as we shape the future of AI and beyond. Together, we advance your career.

THE ROLE:

We are looking for an experienced Software Engineer with a strong interest in data infrastructure, automation and applied machine learning.

This role is critical to building AMD’s next-generation data pipeline and analytics infrastructure to support AI workloads and GPU validation.

You will design and implement scalable, high-performance data systems that collect, process, and analyze GPU telemetry, performance, and power data.

You will work closely with firmware, software, and infrastructure teams to transform raw data into actionable insights and predictive intelligence.

THE PERSON:

You are passionate about software development with creative and effective problem-solving skills, a motivated, self-starter who can work both independently an",Toronto,"{'summary': 'parse failed', 'vibe': 'avoid'}",2025-11-29 12:41:56.675278,2025-11-29 12:41:56.675278
92,AI / Data Engineer,Accenture,"Mississauga, ON",,Not listed,"We are:

The Advanced Technology Centers (ATCs) is the engine for reinvention in our clients’ transformation journey. Powered by more than 255,000* people across 24 countries, ATCs will provide our clients seamless access to industry insights and innovative technology solutions.

Stronger together!

The Advanced Technology Centers (ATCs) make tremendous impact in solving our clients’ business problems leveraging Innovation, Intelligence, Industry insights, new IT and new technology skills. Now, with the global environment changing at a faster pace, our clients are facing unprecedented challenges, and they need us more than ever before. As a Network, ATCs are positioned to unlock greater opportunities and exponential value for our clients.

The value for our clients and our people

For our clients, the Network provides the strength of our geographic diversity, greater resilience, and seamless access to the deepest industry knowledge, the latest in Gen AI solutions, and tech expertise from around the world.

For our people, it brings an opportunity to shape truly boundaryless career paths in a highly collaborative team of experts where they can learn from each other and solve the world’s most complex client challenges

This role is in our Local ATCs and will require on-site work 2-3 days per week.

About the Job:

You will be the analytical backbone of our marketing and operations teams. Your in-depth data reporting and data insights on ecommerce and digital channels will drive",Toronto,"{'summary': ""Accenture thinks a single data engineer can single-handedly drive the entire marketing and operations of ATCs, with zero regard for the word 'sustainability' or 'scalability'."", 'vibe': 'corporate_zombie', 'red_flags': ['On-site work 2-3 days a week could mean 40% travel', ""No indication of actual data engineering work, just vague 'data insights'"", 'Max 4 red flags, but at least 10 more hiding'], 'green_flags': ['Large company with resources', 'Wide range of clients and projects to work on', 'Possible opportunities for professional growth'], 'seniority': 'junior', 'match_score': 42}",2025-11-29 12:42:00.971751,2025-11-29 12:42:00.971751
93,"Senior Software Engineer - SRE, Backend (Reliability Engineering)",Affirm,"Toronto, ON",,Not listed,"Affirm is reinventing credit to make it more honest and friendly, giving consumers the flexibility to buy now and pay later without any hidden fees or compounding interest.

Site Reliability Engineering at Affirm is a small, yet crucial, team that helps our Engineering partners to ""Operate What They Own"" with excellence to protect their customers' experience. SRE accomplishes this through defining frameworks and best practices for operating applications, building tooling, and providing training and consulting. Some of the many SRE responsibilities are:
• Providing data and visibility to teams and leadership on application performance
• Guiding the development of SLOs
• Driving the Incident Management and Analysis process
• Steering the implementation of Change Management and Deployment practices
• Engaging in service and architectural conversations
• Recommending observability and alerting configurations

The SRE team benefits from experience across many domains including:
• infrastructure, platform, and distributed systems
• capacity management, load and chaos testing
• automation, observability, and configuration management
• development and product experience

The SRE team is seeking motivated software engineers with the experience to build and expand reliability and resilience practices throughout Affirms Engineering organization and beyond.

What You'll Do
• You will be responsible for owning and delivering quarterly goals for your team, leading engineers on your team th",Toronto,"{'summary': ""A clueless manager is looking for a miracle worker to babysit a broken SRE team in a company that thinks 'reinventing credit' is a legitimate reason to ignore software principles."", 'vibe': 'faang_tier|startup_chaos|avoid', 'red_flags': ['Poorly defined goals', 'Lack of experience required', ""Overemphasis on 'reinventing'""], 'green_flags': ['Variety of domains', 'Influence over multiple teams', 'Potential for growth'], 'seniority': 'junior', 'match_score': 40}",2025-11-29 12:42:05.122353,2025-11-29 12:42:05.122353
94,Software Engineer (Full-Stack),Caribou,"Toronto, ON",,Not listed,"About Caribou

The global population is aging, and the need for home care is growing each year. Unfortunately, at a time when care is needed more than ever, the home care industry is facing a crisis — a shortage of care workers.

At Caribou, we’re on a mission to solve the caregiver crisis. When caregivers feel valued, recognized, and financially secure, they stay longer, deliver better care, and strengthen our communities.

Our platform helps care organizations attract, engage, and retain staff through data-driven recognition, rewards, and coordination tools that make caregivers’ lives better — and agencies more successful. On average, our customers grow their staff by 25 % in year one and reduce turnover dramatically.

Caribou was recently recognized as one of The Globe and Mail’s Top Growing Companies — #10 in technology, #29 overall — and we’re just getting started. Join us as we transform how care organizations recognize and retain the people who make care possible.

The Opportunity

As a Full-Stack Software Engineer at Caribou, you’ll play a key role in building the systems and features that power our caregiver-first platform. You’ll own meaningful pieces of our codebase, contribute to design and architecture discussions, and help us deliver reliable, user-centered products

You’ll join a talented, mission-driven team where:
• Everyone is a leader - from decision-making to rolling up our sleeves when needed
• We build with empathy - always asking how the product improve",Toronto,"{'summary': ""This job description screams 'we're trying to sound cool but are actually just a bureaucratic mess with a tired, overhyped mission statement'."", 'vibe': 'corporate_zombie', 'red_flags': ['vagueness', 'overemphasis on buzzwords', 'too many clichés'], 'green_flags': [' mention of a clear mission', 'some focus on caregiver-centric approach'], 'seniority': 'junior', 'match_score': 42}",2025-11-29 12:42:09.243383,2025-11-29 12:42:09.243383
95,"Principal Associate, Software Engineer",Posting Date:25/ 11/2025,"Toronto, ON",,Not listed,"161 Bay Street (93021), Canada, Toronto,Toronto, Ontario,

Principal Associate, Software Engineer

Principal Associate, Software Engineer

About Capital One Canada.

For over 20 years, we’ve been on a mission to change banking for good and build relationships by making credit accessible, simple, intuitive and rewarding. We want to help Canadians succeed with credit, because we believe in people — in our customers, in our associates, and in talent like you!

A day in the life of a Capital One Software Engineer.

You’ll work alongside other Software Engineers on innovative projects. You’ll have the opportunity to learn, design and build software products from the ground up.

Here are a few of the ways we’re helping people take control of their credit:
• Helping customers view and monitor their credit scores with Credit Keeper
• Enabling customers to view and edit their Personal Information directly in the Mobile App
• Providing customers 100% certainty which credit cards they’ll be approved for before they apply, by using Quick Check™

We’re all-in on the cloud and we’re leaders in the adoption of open source technologies, RESTful APIs, microservices, and containers. We build our own products and release them with a speed and agility that allows us to get new customer experiences to market quickly. And, as a founder-led company, we’re inspired to make, break, do, and do good. So, let’s do something great together.

Want to learn more? Check out life at Capital One in the Softwa",Toronto,"{'summary': ""A junior title in a 'mission-driven' bank with a 20-year-old playbook and a dash of cloud-washing."", 'vibe': 'corporate_zombie', 'red_flags': ['inflated job title', 'vague project descriptions', 'overemphasis on cloud adoption'], 'green_flags': ['founder-led company', 'focus on customer experiences', 'interesting tech stack'], 'seniority': 'junior', 'match_score': 32}",2025-11-29 12:42:13.631258,2025-11-29 12:42:13.631258
